#{"t_start": 1686672841.5707996, "env_id": null}
r,l,t
1923.250732,10001,266.580629
1587.745239,10001,283.810417
1559.741699,10001,300.417708
1720.947144,10001,317.407628
1731.546021,10001,334.043082
1660.248169,10001,603.742716
1729.24292,10001,621.038795
1715.64978,10001,637.311775
1668.546021,10001,653.487962
1698.247803,10001,670.553681
1500.717407,10001,942.009374
1437.416016,10001,960.117943
1527.017212,10001,977.789995
1429.818115,10001,995.390511
1467.616211,10001,1012.983983
1656.033813,10001,1290.515599
1673.733765,10001,1305.887228
1642.731323,10001,1322.839326
1551.432739,10001,1339.731921
1606.737549,10001,1356.647666
1798.443604,10001,1623.919408
1726.344971,10001,1641.503867
1758.342041,10001,1658.055682
1812.842773,10001,1675.499874
1527.838989,10001,1693.028184
1350.672607,10001,1955.298897
1318.081909,10001,1971.354093
1367.378296,10001,1988.207065
1363.276855,10001,2005.077304
1341.681885,10001,2022.945962
1484.970825,10001,2280.625245
1471.766602,10001,2297.754594
1593.07312,10001,2312.562437
1373.262695,10001,2329.506452
1511.165771,10001,2346.630259
1464.160156,10001,2601.948706
1612.477539,10001,2619.051808
1561.571899,10001,2636.210699
1419.864502,10001,2653.512014
1493.569092,10001,2670.893176
1648.552734,10001,2929.240743
1588.453857,10001,2946.056943
1698.853638,10001,2964.774144
1621.55249,10001,2979.966377
1732.45874,10001,2996.745525
1513.56543,10001,3253.653526
1608.972778,10001,3270.655863
1486.061401,10001,3287.869294
1551.766235,10001,3305.137398
1478.961304,10001,3320.196182
