#{"t_start": 1686666616.7557225, "env_id": null}
r,l,t
1011.002563,10001,271.15732
1015.60498,10001,287.953319
1047.102783,10001,304.807035
989.200562,10001,321.770061
1004.298096,10001,338.772701
1150.685181,10001,605.934434
1257.393311,10001,622.340752
1206.784546,10001,638.806253
1179.493408,10001,655.290665
1170.88855,10001,670.370541
1536.822876,10001,943.980775
1647.425415,10001,961.039512
1734.427612,10001,979.775089
1733.726807,10001,998.148681
1749.123535,10001,1016.757445
1599.222778,10001,1293.009974
1661.724487,10001,1308.819374
1637.725342,10001,1327.196652
1715.424683,10001,1345.446332
1575.122681,10001,1363.774112
1637.551392,10001,1639.590835
1674.751953,10001,1656.705812
1555.345215,10001,1673.79214
1834.855591,10001,1690.827251
1707.05249,10001,1707.736649
1726.353638,10001,1977.035181
1615.950806,10001,1995.698183
1769.552856,10001,2012.750025
1578.646606,10001,2029.928816
1588.54834,10001,2047.141933
1475.771729,10001,2308.014057
1477.676147,10001,2325.564135
1455.471191,10001,2343.254484
1353.274902,10001,2357.940508
1424.374268,10001,2375.594441
1517.517456,10001,2647.269525
1583.820435,10001,2664.835556
1596.020264,10001,2684.247146
1668.619263,10001,2701.954237
1667.019165,10001,2719.682898
1392.613159,10001,2990.345348
1494.512939,10001,3008.674108
1385.311523,10001,3026.969905
1517.31189,10001,3045.449944
1458.213623,10001,3063.892873
1692.842163,10001,3334.353299
1845.644653,10001,3349.797618
1767.841187,10001,3368.038606
1651.841064,10001,3386.412843
1541.141479,10001,3401.709656
