#{"t_start": 1684842814.4315739, "env_id": null}
r,l,t
248.196472,1501,263.887321
262.196533,1501,266.161115
219.096832,1501,269.438423
242.69632,1501,271.711646
253.796478,1501,273.987807
212.897186,1501,535.43344
243.297546,1501,537.707548
329.097595,1501,540.020302
277.69754,1501,542.337136
238.797577,1501,545.73591
309.897675,1501,803.170764
285.997284,1501,805.420086
246.397186,1501,807.655087
249.597321,1501,809.906929
276.097168,1501,813.352727
276.397522,1501,1062.756554
287.897827,1501,1065.008337
287.297577,1501,1067.241411
209.097504,1501,1070.862943
303.697235,1501,1073.083287
321.297302,1501,1322.33012
284.497498,1501,1324.597492
285.397186,1501,1328.023189
254.297485,1501,1330.285205
297.697205,1501,1332.539913
342.097351,1501,1580.864121
305.397491,1501,1584.42746
201.79718,1501,1586.673885
278.997375,1501,1588.950745
287.697174,1501,1591.217597
233.496918,1501,1839.649533
246.396576,1501,1841.914755
246.197083,1501,1844.225815
320.09671,1501,1846.540459
303.296783,1501,1850.180441
258.99707,1501,2094.741693
289.096985,1501,2096.971801
272.597504,1501,2101.0209
330.097351,1501,2103.28195
262.397278,1501,2105.559668
324.496613,1501,2350.75658
254.596741,1501,2352.967256
244.097046,1501,2355.204101
268.097015,1501,2357.437639
277.596497,1501,2361.558708
290.39679,1501,2605.442074
300.696716,1501,2607.706242
257.697021,1501,2609.95424
273.597015,1501,2612.212973
257.896973,1501,2615.989479
