#{"t_start": 1683642759.314114, "env_id": null}
r,l,t
-59.0,1501,5.004802
-95.0,1501,7.679708
-69.0,1501,10.367914
17.0,1501,12.797096
1.0,1501,15.439477
29.0,1501,20.620548
81.0,1501,23.29705
41.0,1501,25.97292
-7.0,1501,28.732615
1.0,1501,31.415948
-43.0,1501,36.385865
-11.0,1501,39.071696
-91.0,1501,41.777344
-89.0,1501,44.47837
15.0,1501,47.600641
93.0,1501,53.024826
45.0,1501,55.751504
-3.0,1501,58.232029
-3.0,1501,60.819391
9.0,1501,63.433229
15.0,1501,68.511831
7.0,1501,71.12743
39.0,1501,73.731672
-1.0,1501,76.361412
-21.0,1501,78.987148
35.0,1501,83.887691
-89.0,1501,86.481676
25.0,1501,89.071462
-83.0,1501,91.681407
-47.0,1501,94.353521
65.0,1501,99.588029
-37.0,1501,102.01511
21.0,1501,104.760569
99.0,1501,107.359487
47.0,1501,109.979453
33.0,1501,115.122361
-39.0,1501,117.733401
97.0,1501,120.350046
-71.0,1501,122.754218
47.0,1501,125.332955
-33.0,1501,130.408468
1.0,1501,133.066503
-77.0,1501,135.819438
-21.0,1501,138.558994
13.0,1501,141.307803
-13.0,1501,146.733912
19.0,1501,149.140248
-1.0,1501,151.789906
15.0,1501,154.528791
-23.0,1501,157.199065
