#{"t_start": 1684435439.9561028, "env_id": null}
r,l,t
-87.0,1501,103.00917
87.0,1501,106.077885
-61.0,1501,108.498592
-113.0,1501,110.934633
3.0,1501,113.967599
37.0,1501,218.045129
37.0,1501,221.141237
97.0,1501,223.561252
-39.0,1501,226.65287
59.0,1501,229.063214
-19.0,1501,333.82111
5.0,1501,336.948355
25.0,1501,339.382682
115.0,1501,341.839825
-19.0,1501,344.968791
73.0,1501,449.976409
-101.0,1501,452.38323
-1.0,1501,454.784059
-3.0,1501,458.034981
-41.0,1501,460.442034
126.0,1501,564.556654
159.5,1501,566.714507
111.5,1501,568.871926
137.0,1501,571.92335
83.75,1501,574.074866
165.5,1501,676.484926
116.5,1501,678.675673
79.75,1501,681.697722
58.75,1501,683.886139
85.5,1501,686.062981
167.25,1501,789.501087
177.5,1501,791.727203
166.5,1501,793.952622
224.25,1501,797.096331
183.5,1501,799.336567
151.5,1501,902.347154
166.5,1501,905.626974
127.25,1501,907.901657
263.75,1501,910.186956
246.5,1501,912.46333
77.5,1501,1015.65168
161.0,1501,1017.81466
152.0,1501,1020.982839
143.0,1501,1023.160315
183.5,1501,1025.354206
195.25,1501,1127.26942
218.25,1501,1129.496065
193.25,1501,1132.864113
193.0,1501,1135.086883
139.25,1501,1137.310239
