#{"t_start": 1687523314.681553, "env_id": null}
r,l,t
494.106384,10001,263.145269
505.716003,10001,278.545312
501.317871,10001,293.684237
506.317993,10001,309.153167
507.013306,10001,324.741871
1021.112183,10001,593.348772
992.801758,10001,608.371979
1029.307861,10001,624.259886
950.200806,10001,640.446577
1025.307495,10001,655.495836
1240.188232,10001,939.673016
1218.480713,10001,957.093714
1194.485718,10001,973.783611
1115.289185,10001,990.309136
1177.491333,10001,1006.822476
1413.386475,10001,1300.495309
1252.583496,10001,1316.674301
1352.684692,10001,1332.833036
1328.880859,10001,1349.128219
1339.486938,10001,1365.443178
1730.052124,10001,1668.919168
1792.35144,10001,1685.881733
1538.048096,10001,1701.766759
1554.955811,10001,1718.567893
1712.751343,10001,1735.472003
1745.424316,10001,2053.118631
1786.526367,10001,2070.414436
1680.328125,10001,2087.859662
1675.627686,10001,2105.384722
1657.226196,10001,2123.051713
1529.748779,10001,2448.48491
1716.256348,10001,2465.506704
1725.349121,10001,2482.7364
1683.049438,10001,2500.128299
1615.954102,10001,2514.999157
1757.050781,10001,2862.352448
1752.152222,10001,2880.059648
1712.55603,10001,2896.512506
1705.750366,10001,2914.110855
1573.550537,10001,2931.603865
1625.661865,10001,3269.929117
1613.860229,10001,3286.735836
1560.151367,10001,3303.680653
1613.15625,10001,3320.908614
1670.258301,10001,3337.674456
1688.642456,10001,3694.116404
1689.343628,10001,3711.25765
1738.448364,10001,3728.447335
1592.641724,10001,3745.764117
1725.242798,10001,3763.19974
