#{"t_start": 1683285703.7060096, "env_id": null}
r,l,t
0.0,501,1.92843
0.0,516,2.598473
0.0,531,3.449603
0.0,547,4.16019
0.0,563,4.895769
0.0,580,6.026431
0.0,598,6.802835
0.0,615,7.746642
0.0,634,8.564192
0.0,653,9.537373
0.0,672,10.772986
0.0,693,11.653456
0.0,713,12.722716
0.0,735,13.664261
0.0,757,14.78739
0.0,779,15.980914
0.0,803,17.152505
0.0,827,18.387817
0.0,852,19.484702
0.0,877,20.769594
0.0,904,22.119263
0.0,931,23.45634
0.0,959,24.840292
0.0,987,26.285294
0.0,1017,27.602739
0.0,1047,29.484001
0.0,1079,31.007826
0.0,1111,32.596534
0.0,1144,34.226179
0.0,1179,35.906459
0.0,1214,37.654312
0.0,1251,39.385856
0.0,1288,41.34295
0.0,1327,43.043175
0.0,1366,44.92665
0.0,1407,47.217372
0.0,1450,49.249489
0.0,1493,51.328389
0.0,1538,53.28699
0.0,1584,55.615102
0.0,1632,58.055531
0.0,1680,60.398438
0.0,1731,62.759915
0.0,1783,65.401778
0.0,1836,67.954213
0.0,1891,70.745998
0.0,1948,73.579909
0.0,2006,76.330254
0.0,2067,79.171857
0.0,2129,82.018299
