#{"t_start": 1684170338.9779046, "env_id": null}
r,l,t
276.0,1501,75.54129
226.0,1501,77.410553
288.0,1501,79.741889
333.0,1501,82.174952
354.0,1501,84.049538
293.0,1501,160.865141
312.0,1501,162.634405
276.0,1501,164.898532
307.0,1501,166.652581
240.0,1501,168.923611
289.0,1501,244.62465
287.0,1501,246.409252
275.0,1501,248.758598
225.0,1501,250.562554
293.0,1501,252.846543
218.0,1501,327.053404
190.0,1501,328.6908
154.0,1501,330.285053
153.0,1501,332.589095
227.0,1501,334.227983
282.0,1501,408.975638
348.0,1501,411.503748
234.0,1501,413.229988
349.0,1501,415.011835
289.0,1501,417.511619
312.0,1501,494.204948
267.0,1501,496.783918
388.0,1501,498.625405
288.0,1501,500.455614
323.0,1501,502.978791
329.0,1501,579.653695
312.0,1501,581.504454
346.0,1501,583.332469
291.0,1501,585.868635
313.0,1501,587.699478
336.0,1501,663.496536
265.0,1501,666.14105
326.0,1501,667.976632
317.0,1501,669.801845
280.0,1501,672.410256
308.0,1501,748.422029
305.0,1501,750.221896
336.0,1501,752.024192
271.0,1501,754.670521
275.0,1501,756.458363
304.0,1501,833.638511
324.0,1501,835.467386
250.0,1501,837.276835
341.0,1501,839.050493
371.0,1501,841.85661
