#{"t_start": 1685538393.1132863, "env_id": null}
r,l,t
1283.583862,10001,106.154254
1352.385864,10001,120.150524
1473.893555,10001,134.240263
1212.397461,10001,148.422027
947.28894,10001,161.415775
1401.495117,10001,268.187577
1367.390869,10001,281.079109
1508.291626,10001,295.178694
1579.393921,10001,309.177553
1352.588135,10001,323.234523
808.207642,10001,426.479782
765.496338,10001,440.254932
791.809814,10001,452.68858
609.188232,10001,466.385633
794.286865,10001,480.077644
623.093811,10001,579.417312
998.506348,10001,594.053922
1104.405396,10001,605.166141
918.305664,10001,619.667393
1017.606201,10001,632.695318
875.603394,10001,733.674362
789.690308,10001,746.195193
586.180664,10001,759.994535
979.213745,10001,772.672143
923.407349,10001,785.342574
612.591064,10001,884.758416
1139.802002,10001,898.677147
830.500122,10001,912.455437
883.803589,10001,925.019442
720.89978,10001,938.605526
1054.207275,10001,1039.625111
910.507202,10001,1052.930349
1093.40564,10001,1066.093888
861.108826,10001,1077.103024
991.012939,10001,1089.879975
851.588379,10001,1189.068744
863.001343,10001,1202.516058
989.797974,10001,1213.525771
920.208252,10001,1226.77336
751.692749,10001,1239.972318
824.307983,10001,1338.761003
982.508179,10001,1351.56273
945.299438,10001,1365.913253
826.57373,10001,1378.654284
938.09668,10001,1396.336598
415.887634,10001,1492.801223
417.696289,10001,1505.304275
410.68988,10001,1518.047152
382.440765,10001,1530.749457
410.185913,10001,1543.325209
